book_id,title,original_title,books_count,authors,average_rating,image_url,small_image_url
1,"The Hunger Games (The Hunger Games, #1)",The Hunger Games,272,Suzanne Collins,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Harry Potter and the Philosopher's Stone,491,"J.K. Rowling, Mary GrandPré",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3,"Twilight (Twilight, #1)",Twilight,226,Stephenie Meyer,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4,To Kill a Mockingbird,To Kill a Mockingbird,487,Harper Lee,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,The Great Gatsby,The Great Gatsby,1356,F. Scott Fitzgerald,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,The Fault in Our Stars,The Fault in Our Stars,226,John Green,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,The Hobbit,The Hobbit or There and Back Again,969,J.R.R. Tolkien,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,The Catcher in the Rye,The Catcher in the Rye,360,J.D. Salinger,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,"Angels & Demons  (Robert Langdon, #1)",Angels & Demons ,311,Dan Brown,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10,Pride and Prejudice,Pride and Prejudice,3455,Jane Austen,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
11,The Kite Runner,The Kite Runner ,283,Khaled Hosseini,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg
12,"Divergent (Divergent, #1)",Divergent,210,Veronica Roth,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,1984,Nineteen Eighty-Four,995,"George Orwell, Erich Fromm, Celâl Üster",4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,Animal Farm,Animal Farm: A Fairy Story,896,George Orwell,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
15,The Diary of a Young Girl,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
16,"The Girl with the Dragon Tattoo (Millennium, #1)",Män som hatar kvinnor,274,"Stieg Larsson, Reg Keeland",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17,"Catching Fire (The Hunger Games, #2)",Catching Fire,201,Suzanne Collins,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Harry Potter and the Prisoner of Azkaban,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
19,"The Fellowship of the Ring (The Lord of the Rings, #1)", The Fellowship of the Ring,566,J.R.R. Tolkien,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
20,"Mockingjay (The Hunger Games, #3)",Mockingjay,239,Suzanne Collins,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Harry Potter and the Order of the Phoenix,307,"J.K. Rowling, Mary GrandPré",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
22,The Lovely Bones,The Lovely Bones,183,Alice Sebold,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Harry Potter and the Chamber of Secrets,398,"J.K. Rowling, Mary GrandPré",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Harry Potter and the Goblet of Fire,332,"J.K. Rowling, Mary GrandPré",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Harry Potter and the Deathly Hallows,263,"J.K. Rowling, Mary GrandPré",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
26,"The Da Vinci Code (Robert Langdon, #2)",The Da Vinci Code,350,Dan Brown,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Harry Potter and the Half-Blood Prince,275,"J.K. Rowling, Mary GrandPré",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
28,Lord of the Flies,Lord of the Flies ,458,William Golding,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,Romeo and Juliet,An Excellent conceited Tragedie of Romeo and Juliet,1937,"William Shakespeare, Robert           Jackson",3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
30,Gone Girl,Gone Girl,196,Gillian Flynn,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31,The Help,The Help,183,Kathryn Stockett,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
